"","x"
"1235","2008"
"1236","2002"
"1237","1996"
"1238","1994"
"1239","2002"
"1240","1986"
"1241","1985"
"1242","1984"
"1243","1984"
"1244","2009"
"1245","2006"
"1246","2002"
"1247","1994"
"1248","1992"
"1249","1990"
"1250","1988"
"1251","1987"
"1252","1983"
"1253","1982"
"1254","1998"
"1255","2001"
"1256","1995"
"1257","2008"
"1258","1982"
"1259","2005"
"1260","2000"
"1261","2004"
"1262","1991"
"1263","1968"
"1264","1980"
"1265","1981"
"1266","1980"
"1267","1998"
"1268","1999"
"1269","1997"
"1270","1993"
"1271","1995"
"1272","1998"
"1273","1995"
"1274","1991"
"1275","1988"
"1276","1986"
"1277","1984"
"1278","1982"
"1279","1981"
"1280","1980"
"1281","1979"
"1282","1978"
"1283","1990"
"1284","2006"
"1285","1988"
"1286","1987"
"1287","1986"
"1288","1983"
"1289","1982"
"1290","1981"
"1291","1980"
"1292","1997"
"1293","1994"
"1294","1992"
"1295","1990"
"1296","1988"
"1297","1986"
"1298","1985"
"1299","2007"
"1300","2003"
"1301","2001"
"1302","2000"
"1303","1996"
"1304","1991"
"1305","1988"
"1306","1984"
"1307","1965"
"1308","1958"
"1309","1972"
"1310","1959"
"1311","1963"
"1312","1964"
"1313","2013"
"1314","2012"
"1315","2008"
"1316","2007"
"1317","2006"
"1318","2005"
"1319","2004"
"1320","2000"
"1321","2002"
"1322","1999"
"1323","2020"
"1324","2001"
"1325","1959"
"1326","1970"
"1327","1969"
"1328","1991"
"1329","2016"
"1330","2003"
"1331","1999"
"1332","1983"
"1333","1980"
"1334","1977"
"1335","1977"
"1336","1976"
"1337","1972"
"1338","1971"
"1339","1970"
"1340","1969"
"1341","2015"
"1342","1970"
"1343","1969"
"1344","1968"
"1345","1967"
"1346","1977"
"1347","1980"
"1348","1979"
"1349","1972"
"1350","1972"
"1351","1969"
"1352","1969"
"1353","1972"
"1354","1970"
"1355","1970"
"1356","1969"
"1357","1991"
"1358","1988"
"1359","1986"
"1360","1984"
"1361","1983"
"1362","1981"
"1363","1980"
"1364","1979"
"1365","1977"
"1366","1976"
"1367","1974"
"1368","1973"
"1369","1972"
"1370","1992"
"1371","1990"
"1372","1981"
"1373","1980"
"1374","1979"
"1375","1978"
"1376","1978"
"1377","1977"
"1378","1976"
"1379","1975"
"1380","2008"
"1381","1993"
"1382","1991"
"1383","1991"
"1384","1987"
"1385","2018"
"1386","2012"
"1387","2003"
"1388","1982"
"1389","1979"
"1390","1976"
"1391","1976"
"1392","1975"
"1393","1973"
"1394","1971"
"1395","1970"
"1396","1969"
"1397","1969"
"1398","1970"
"1399","1971"
"1400","1977"
"1401","1975"
"1402","1972"
"1403","1974"
"1404","1999"
"1405","1971"
"1406","1970"
"1407","2012"
"1408","1994"
"1409","2009"
"1410","1983"
"1411","1982"
"1412","1977"
"1413","1969"
"1414","1968"
"1415","1992"
"1416","1983"
"1417","1982"
"1418","1981"
"1419","1980"
"1420","1978"
"1421","1976"
"1422","1975"
"1423","1973"
"1424","1972"
"1425","1971"
"1426","1970"
"1427","1970"
"1428","1996"
"1429","1994"
"1430","1991"
"1431","2006"
"1432","2001"
"1433","1996"
"1434","1993"
"1435","1992"
"1436","1982"
"1437","1994"
"1438","1992"
"1439","2013"
"1440","2009"
"1441","1996"
"1442","1995"
"1443","1992"
"1444","1990"
"1445","1992"
"1446","2009"
"1447","2002"
"1448","1996"
"1449","1994"
"1450","1993"
"1451","1991"
"1452","1989"
"1453","1997"
"1454","1994"
"1455","2017"
"1456","2014"
"1457","2011"
"1458","2007"
"1459","2005"
"1460","2002"
"1461","1999"
"1462","1997"
"1463","1995"
"1464","2001"
"1465","1998"
"1466","1995"
"1467","2017"
"1468","2013"
"1469","2010"
"1470","2007"
"1471","2004"
"1472","2003"
"1473","1989"
"1474","1988"
"1475","2017"
"1476","1995"
"1477","1993"
"1478","1991"
"1479","1994"
"1480","1998"
"1481","1997"
"1482","1993"
"1483","1989"
"1484","1987"
"1485","1987"
"1486","1986"
"1487","1978"
"1488","1976"
"1489","1975"
"1490","1974"
"1491","1973"
"1492","2017"
"1493","2016"
"1494","1992"
"1495","1992"
"1496","2013"
"1497","2008"
"1498","2007"
"1499","2005"
"1500","2002"
"1501","2002"
"1502","2000"
"1503","1999"
"1504","1995"
"1505","1994"
"1506","1989"
"1507","2001"
"1508","2008"
"1509","2004"
"1510","2000"
"1511","1996"
"1512","1993"
"1513","1992"
"1514","1989"
"1515","1987"
"1516","1985"
"1517","1984"
"1518","1982"
"1519","1981"
"1520","1980"
"1521","1979"
"1522","1997"
"1523","2004"
"1524","2015"
"1525","2007"
"1526","1996"
"1527","1993"
"1528","1991"
"1529","1989"
"1530","1989"
"1531","1987"
"1532","1985"
"1533","1984"
"1534","1982"
"1535","1981"
"1536","1981"
"1537","1980"
"1538","1978"
"1539","1977"
"1540","1976"
"1541","1976"
"1542","1975"
"1543","1975"
"1544","1974"
"1545","2001"
"1546","1981"
"1547","1971"
"1548","2000"
"1549","1995"
"1550","1994"
"1551","1988"
"1552","1987"
"1553","1983"
"1554","1979"
"1555","1977"
"1556","1975"
